File,Line,R,V,Area
1.txt,0 0.505556 0.0459459 0.137037 0.0918919,0.11446445,0.0003260413533768308,0.010290373377091247
1.txt,0 0.544444 0.489189 0.155556 0.178378,0.166967,0.0006940487176082293,0.021895313575733072
1.txt,0 0.490741 0.645946 0.203704 0.275676,0.23969,0.0014312040099462235,0.04512214244174298
1.txt,0 0.509259 0.913514 0.12963 0.140541,0.1350855,0.000454178300673479,0.014332018185977449
10.txt,0 0.798148 0.0675676 0.0407407 0.0486486,0.04469465,4.967985035678374e-05,0.001568920590695295
10.txt,0 0.911111 0.659459 0.0444444 0.0648649,0.05465465,7.429522086252042e-05,0.0023460870179333234
10.txt,0 0.911111 0.137838 0.0296296 0.0378378,0.0337337,2.8298013008874074e-05,0.0008937536698380659
10.txt,0 0.885185 0.1 0.0296296 0.0378378,0.0337337,2.8298013008874074e-05,0.0008937536698380659
10.txt,0 0.953704 0.586486 0.0333333 0.0378378,0.03558555,3.1490699913481466e-05,0.0009945743313100604
10.txt,0 0.92037 0.278378 0.0333333 0.0378378,0.03558555,3.1490699913481466e-05,0.0009945743313100604
10.txt,0 0.85 0.2 0.0333333 0.0432432,0.03828825,3.645659842021494e-05,0.0011513859227231511
10.txt,0 0.0981481 0.189189 0.0333333 0.0432432,0.03828825,3.645659842021494e-05,0.0011513859227231511
10.txt,0 0.918519 0.321622 0.0296296 0.0378378,0.0337337,2.8298013008874074e-05,0.0008937536698380659
10.txt,0 0.544444 0.1 0.037037 0.0486486,0.0428428,4.564759782784273e-05,0.0014416026579050292
10.txt,0 0.509259 0.143243 0.0481481 0.0810811,0.0646146,0.00010384973807181623,0.003279073879242747
10.txt,0 0.274074 0.072973 0.037037 0.0486486,0.0428428,4.564759782784273e-05,0.0014416026579050292
10.txt,0 0.938889 0.159459 0.0333333 0.0378378,0.03558555,3.1490699913481466e-05,0.0009945743313100604
10.txt,0 0.17037 0.378378 0.0296296 0.0432432,0.0364364,3.301483033720657e-05,0.001042703433497384
10.txt,0 0.201852 0.0837838 0.0407407 0.0594595,0.050100099999999995,6.242617215773575e-05,0.00197136511380668
10.txt,0 0.887037 0.467568 0.0407407 0.0486486,0.04469465,4.967985035678374e-05,0.001568920590695295
10.txt,0 0.253704 0.178378 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.0944444 0.562162 0.0333333 0.0432432,0.03828825,3.645659842021494e-05,0.0011513859227231511
10.txt,0 0.194444 0.375676 0.0333333 0.0486486,0.04099095,4.178604229745593e-05,0.0013196715330201264
10.txt,0 0.701852 0.405405 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.75 0.0675676 0.0333333 0.0486486,0.04099095,4.178604229745593e-05,0.0013196715330201264
10.txt,0 0.87037 0.643243 0.037037 0.0432432,0.0401401,4.006904332497391e-05,0.001265455219854281
10.txt,0 0.614815 0.47027 0.0296296 0.0540541,0.04184185,4.353917826103065e-05,0.0013750283037169246
10.txt,0 0.242593 0.0675676 0.0333333 0.0486486,0.04099095,4.178604229745593e-05,0.0013196715330201264
10.txt,0 0.72037 0.186486 0.0407407 0.0486486,0.04469465,4.967985035678374e-05,0.001568920590695295
10.txt,0 0.962963 0.210811 0.0296296 0.0432432,0.0364364,3.301483033720657e-05,0.001042703433497384
10.txt,0 0.833333 0.443243 0.037037 0.0540541,0.045545550000000004,5.158985397142057e-05,0.001629227691976831
10.txt,0 0.388889 0.0297297 0.0444444 0.0594595,0.05195195,6.712745606477306e-05,0.002119793655453813
10.txt,0 0.505556 0.167568 0.0481481 0.0540541,0.051101099999999997,6.494620533507343e-05,0.0020509278336569114
10.txt,0 0.138889 0.340541 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.383333 0.162162 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.696296 0.313514 0.037037 0.0540541,0.045545550000000004,5.158985397142057e-05,0.001629227691976831
10.txt,0 0.133333 0.12973 0.0444444 0.0648649,0.05465465,7.429522086252042e-05,0.0023460870179333234
10.txt,0 0.733333 0.308108 0.037037 0.0432432,0.0401401,4.006904332497391e-05,0.001265455219854281
10.txt,0 0.790741 0.386487 0.0407407 0.0486486,0.04469465,4.967985035678374e-05,0.001568920590695295
10.txt,0 0.574074 0.402703 0.037037 0.0486486,0.0428428,4.564759782784273e-05,0.0014416026579050292
10.txt,0 0.57963 0.618919 0.0481481 0.0594595,0.0538038,7.199947732419322e-05,0.0022736090050063094
10.txt,0 0.590741 0.518919 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.907407 0.635135 0.037037 0.0486486,0.0428428,4.564759782784273e-05,0.0014416026579050292
10.txt,0 0.588889 0.345946 0.0444444 0.0540541,0.04924925,6.032336556910635e-05,0.0019049743118581888
10.txt,0 0.668519 0.327027 0.0407407 0.0594595,0.050100099999999995,6.242617215773575e-05,0.00197136511380668
10.txt,0 0.585185 0.448649 0.0444444 0.0540541,0.04924925,6.032336556910635e-05,0.0019049743118581888
10.txt,0 0.514815 0.116216 0.0444444 0.0594595,0.05195195,6.712745606477306e-05,0.002119793655453813
10.txt,0 0.911111 0.691892 0.0444444 0.0540541,0.04924925,6.032336556910635e-05,0.0019049743118581888
10.txt,0 0.812963 0.505405 0.0407407 0.0594595,0.050100099999999995,6.242617215773575e-05,0.00197136511380668
10.txt,0 0.87963 0.508108 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.881481 0.556757 0.0444444 0.0540541,0.04924925,6.032336556910635e-05,0.0019049743118581888
10.txt,0 0.553704 0.486486 0.0481481 0.0648649,0.0565065,7.941644108957219e-05,0.002507764195239592
10.txt,0 0.790741 0.321622 0.0407407 0.0594595,0.050100099999999995,6.242617215773575e-05,0.00197136511380668
10.txt,0 0.112963 0.405405 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.435185 0.0918919 0.0481481 0.0756757,0.0619119,9.534154596052849e-05,0.003010496632357811
10.txt,0 0.822222 0.575676 0.0444444 0.0594595,0.05195195,6.712745606477306e-05,0.002119793655453813
10.txt,0 0.609259 0.397297 0.0407407 0.0594595,0.050100099999999995,6.242617215773575e-05,0.00197136511380668
10.txt,0 0.646296 0.456757 0.0481481 0.0594595,0.0538038,7.199947732419322e-05,0.0022736090050063094
10.txt,0 0.609259 0.667568 0.0481481 0.0594595,0.0538038,7.199947732419322e-05,0.0022736090050063094
10.txt,0 0.612963 0.8 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.874074 0.7 0.0444444 0.0594595,0.05195195,6.712745606477306e-05,0.002119793655453813
10.txt,0 0.246296 0.278378 0.062963 0.0810811,0.07202205,0.0001290336217070277,0.004073998257163342
10.txt,0 0.692593 0.0378378 0.0444444 0.0648649,0.05465465,7.429522086252042e-05,0.0023460870179333234
10.txt,0 0.612963 0.72973 0.0407407 0.0540541,0.0473974,5.587125118247382e-05,0.0017644075979648284
10.txt,0 0.607407 0.143243 0.0444444 0.0594595,0.05195195,6.712745606477306e-05,0.002119793655453813
100.txt,0 0.47963 0.47027 0.411111 0.52973,0.4704205,0.005523817950195132,0.17380503750084206
101.txt,0 0.101852 0.764865 0.0777778 0.0918919,0.08483484999999999,0.0001790476730300401,0.005652472705769977
101.txt,0 0.801852 0.516216 0.12963 0.2,0.164815,0.0006762605528360272,0.021334543320872253
101.txt,0 0.342593 0.32973 0.174074 0.248649,0.2113615,0.0011126207028403984,0.03508662911623771
101.txt,0 0.951852 0.159459 0.0962963 0.243243,0.16976965,0.0007175617836525657,0.02263653699753529
101.txt,0 0.227778 0.72973 0.12963 0.183784,0.15670699999999999,0.0006113176363580474,0.019287088553401735
101.txt,0 0.62037 0.37027 0.188889 0.264865,0.226877,0.0012821373744171674,0.04042693563975548
101.txt,0 0.831481 0.254054 0.174074 0.259459,0.2167665,0.001170307516458828,0.036904065473416924
